,gene_symbols
ENSG00000091986,CCDC80
ENSG00000092009,CMA1
ENSG00000092850,TEKT2
ENSG00000093134,VNN3
ENSG00000094963,FMO2
ENSG00000095303,PTGS1
ENSG00000095370,SH2D3C
ENSG00000095596,CYP26A1
ENSG00000095794,CREM
ENSG00000095917,TPSD1
ENSG00000095970,TREM2
ENSG00000096006,CRISP3
ENSG00000096088,PGC
ENSG00000096093,EFHC1
ENSG00000099194,SCD
ENSG00000099260,PALMD
ENSG00000099860,GADD45B
ENSG00000099958,DERL3
ENSG00000099985,OSM
ENSG00000100027,YPEL1
ENSG00000100055,CYTH4
ENSG00000100060,MFNG
ENSG00000100079,LGALS2
ENSG00000100097,LGALS1
ENSG00000100100,PIK3IP1
ENSG00000100234,TIMP3
ENSG00000100292,HMOX1
ENSG00000100351,GRAP2
ENSG00000100368,CSF2RB
ENSG00000100385,IL2RB
ENSG00000100448,CTSG
ENSG00000100450,GZMH
ENSG00000100453,GZMB
ENSG00000100604,CHGA
ENSG00000100721,TCL1A
ENSG00000100979,PLTP
ENSG00000100985,MMP9
ENSG00000101000,PROCR
ENSG00000101082,SLA2
ENSG00000101096,NFATC2
ENSG00000101109,STK4
ENSG00000101160,CTSZ
ENSG00000101187,SLCO4A1
ENSG00000101222,SPEF1
ENSG00000101265,RASSF2
ENSG00000101335,MYL9
ENSG00000101336,HCK
ENSG00000101443,WFDC2
ENSG00000101445,PPP1R16B
ENSG00000101448,EPPIN
ENSG00000101596,SMCHD1
ENSG00000101695,RNF125
ENSG00000101938,CHRDL1
ENSG00000101955,SRPX
ENSG00000102010,BMX
ENSG00000102024,PLS3
ENSG00000102096,PIM2
ENSG00000102109,PCSK1N
ENSG00000102145,GATA1
ENSG00000102245,CD40LG
ENSG00000102265,TIMP1
ENSG00000102524,TNFSF13B
ENSG00000102575,ACP5
ENSG00000102738,MRPS31
ENSG00000102755,FLT1
ENSG00000102760,RGCC
ENSG00000102794,IRG1
ENSG00000102837,OLFM4
ENSG00000102854,MSLN
ENSG00000102879,CORO1A
ENSG00000102934,PLLP
ENSG00000102962,CCL22
ENSG00000102970,CCL17
ENSG00000103021,CCDC113
ENSG00000103034,NDRG4
ENSG00000103175,WFDC1
ENSG00000103187,COTL1
ENSG00000103196,CRISPLD2
ENSG00000103241,FOXF1
ENSG00000103257,SLC7A5
ENSG00000103522,IL21R
ENSG00000103534,TMC5
ENSG00000103569,AQP9
ENSG00000104218,CSPP1
ENSG00000104237,RP1
ENSG00000104267,CA2
ENSG00000104332,SFRP1
ENSG00000104368,PLAT
ENSG00000104722,NEFM
ENSG00000104894,CD37
ENSG00000104918,RETN
ENSG00000104921,FCER2
ENSG00000104951,IL4I1
ENSG00000104972,LILRB1
ENSG00000104974,LILRA1
ENSG00000104998,IL27RA
ENSG00000105122,RASAL3
ENSG00000105246,EBI3
ENSG00000105329,TGFB1
ENSG00000105339,DENND3
ENSG00000105369,CD79A
ENSG00000105371,ICAM4
ENSG00000105374,NKG7
ENSG00000105388,CEACAM5
ENSG00000105426,PTPRS
ENSG00000105479,CCDC114
ENSG00000105492,SIGLEC6
ENSG00000105509,HAS1
ENSG00000105519,CAPS
ENSG00000105639,JAK3
ENSG00000105655,ISYNA1
ENSG00000105664,COMP
ENSG00000105697,HAMP
ENSG00000105717,PBX4
ENSG00000105825,TFPI2
ENSG00000105849,TWISTNB
ENSG00000105851,PIK3CG
ENSG00000105877,DNAH11
ENSG00000105894,PTN
ENSG00000105971,CAV2
ENSG00000105974,CAV1
ENSG00000106003,LFNG
ENSG00000106066,CPVL
ENSG00000106258,CYP3A5
ENSG00000106333,PCOLCE
ENSG00000106366,SERPINE1
ENSG00000106483,SFRP4
ENSG00000106537,TSPAN13
ENSG00000106538,RARRES2
ENSG00000106541,AGR2
ENSG00000106560,GIMAP2
ENSG00000106565,TMEM176B
ENSG00000106624,AEBP1
ENSG00000106809,OGN
ENSG00000106819,ASPN
ENSG00000106948,AKNA
ENSG00000106952,TNFSF8
ENSG00000106991,ENG
ENSG00000106992,AK1
ENSG00000107281,NPDC1
ENSG00000107317,PTGDS
ENSG00000107485,GATA3
ENSG00000107562,CXCL12
ENSG00000107742,SPOCK2
ENSG00000107796,ACTA2
ENSG00000107984,DKK1
ENSG00000108179,PPIF
ENSG00000108244,KRT23
ENSG00000108342,CSF3
ENSG00000108370,RGS9
ENSG00000108405,P2RX1
ENSG00000108551,RASD1
ENSG00000108576,SLC6A4
ENSG00000108602,ALDH3A1
ENSG00000108622,ICAM2
ENSG00000108641,B9D1
ENSG00000108688,CCL7
ENSG00000108691,CCL2
ENSG00000108700,CCL8
ENSG00000108702,CCL1
ENSG00000108798,ABI3
ENSG00000108821,COL1A1
ENSG00000108823,SGCA
ENSG00000108932,SLC16A6
ENSG00000109099,PMP22
ENSG00000109193,SULT1E1
ENSG00000109205,ODAM
ENSG00000109208,SMR3A
ENSG00000109321,AREG
ENSG00000109452,INPP4B
ENSG00000109471,IL2
ENSG00000109472,CPE
ENSG00000109610,SOD3
ENSG00000109684,CLNK
ENSG00000109686,SH3D19
ENSG00000109846,CRYAB
ENSG00000109906,ZBTB16
ENSG00000109943,CRTAM
ENSG00000110047,EHD1
ENSG00000110077,MS4A6A
ENSG00000110079,MS4A4A
ENSG00000110092,CCND1
ENSG00000110195,FOLR1
ENSG00000110318,CEP126
ENSG00000110324,IL10RA
ENSG00000110328,GALNT18
ENSG00000110448,CD5
ENSG00000110680,CALCA
ENSG00000110799,VWF
ENSG00000110841,PPFIBP1
ENSG00000110848,CD69
ENSG00000110852,CLEC2B
ENSG00000110934,BIN2
ENSG00000110944,IL23A
ENSG00000111057,KRT18
ENSG00000111145,ELK3
ENSG00000111215,PRR4
ENSG00000111341,MGP
ENSG00000111404,RERGL
ENSG00000111537,IFNG
ENSG00000111729,CLEC4A
ENSG00000111796,KLRB1
ENSG00000111799,COL12A1
ENSG00000111834,RSPH4A
ENSG00000111859,NEDD9
ENSG00000111912,NCOA7
ENSG00000111913,FAM65B
ENSG00000112096,SOD2
ENSG00000112115,IL17A
ENSG00000112116,IL17F
ENSG00000112137,PHACTR1
ENSG00000112149,CD83
ENSG00000112214,FHL5
ENSG00000112378,PERP
ENSG00000112394,SLC16A10
ENSG00000112414,ADGRG6
ENSG00000112486,CCR6
ENSG00000112530,PACRG
ENSG00000112539,C6orf118
ENSG00000112715,VEGFA
ENSG00000112769,LAMA4
ENSG00000112782,CLIC5
ENSG00000112799,LY86
ENSG00000112902,SEMA5A
ENSG00000112936,C7
ENSG00000112972,HMGCS1
ENSG00000112981,NME5
ENSG00000113070,HBEGF
ENSG00000113088,GZMK
ENSG00000113140,SPARC
ENSG00000113263,ITK
ENSG00000113303,BTNL8
ENSG00000113361,CDH6
ENSG00000113368,LMNB1
ENSG00000113389,NPR3
ENSG00000113532,ST8SIA4
ENSG00000113594,LIFR
ENSG00000113657,DPYSL3
ENSG00000113721,PDGFRB
ENSG00000113739,STC2
ENSG00000113749,HRH2
ENSG00000114013,CD86
ENSG00000114315,HES1
ENSG00000114446,IFT57
ENSG00000114473,IQCG
ENSG00000114698,PLSCR4
ENSG00000114854,TNNC1
ENSG00000115008,IL1A
ENSG00000115009,CCL20
ENSG00000115085,ZAP70
ENSG00000115165,CYTIP
ENSG00000115232,ITGA4
ENSG00000115380,EFEMP1
ENSG00000115414,FN1
ENSG00000115423,DNAH6
ENSG00000115457,IGFBP2
ENSG00000115461,IGFBP5
ENSG00000115523,GNLY
ENSG00000115590,IL1R2
ENSG00000115594,IL1R1
ENSG00000115602,IL1RL1
ENSG00000115604,IL18R1
ENSG00000115607,IL18RAP
ENSG00000115738,ID2
ENSG00000115828,QPCT
ENSG00000115919,KYNU
ENSG00000115935,WIPF1
ENSG00000115956,PLEK
ENSG00000115963,RND3
ENSG00000116016,EPAS1
ENSG00000116031,CD207
ENSG00000116132,PRRX1
ENSG00000116133,DHCR24
ENSG00000116285,ERRFI1
ENSG00000116299,KIAA1324
ENSG00000116678,LEPR
ENSG00000116690,PRG4
ENSG00000116717,GADD45A
ENSG00000116741,RGS2
ENSG00000116774,OLFML3
ENSG00000116824,CD2
ENSG00000116885,OSCP1
ENSG00000116962,NID1
ENSG00000117090,SLAMF1
ENSG00000117091,CD48
ENSG00000117114,ADGRL2
ENSG00000117122,MFAP2
ENSG00000117228,GBP1
ENSG00000117281,CD160
ENSG00000117298,ECE1
ENSG00000117318,ID3
ENSG00000117461,PIK3R3
ENSG00000117472,TSPAN1
ENSG00000117519,CNN3
ENSG00000117525,F3
ENSG00000117560,FASLG
ENSG00000117594,HSD11B1
ENSG00000117632,STMN1
ENSG00000117707,PROX1
ENSG00000117724,CENPF
ENSG00000117983,MUC5B
ENSG00000118194,TNNT2
ENSG00000118292,C1orf54
ENSG00000118307,CASC1
ENSG00000118308,LRMP
ENSG00000118407,FILIP1
ENSG00000118492,ADGB
ENSG00000118503,TNFAIP3
ENSG00000118515,SGK1
ENSG00000118520,ARG1
ENSG00000118523,CTGF
ENSG00000118526,TCF21
ENSG00000118785,SPP1
ENSG00000118849,RARRES1
ENSG00000118946,PCDH17
ENSG00000118971,CCND2
ENSG00000118997,DNAH7
ENSG00000119147,C2orf40
ENSG00000119326,CTNNAL1
ENSG00000119508,NR4A3
ENSG00000119535,CSF3R
ENSG00000119636,BBOF1
ENSG00000119681,LTBP2
ENSG00000119888,EPCAM
ENSG00000120156,TEK
ENSG00000120262,CCDC170
ENSG00000120279,MYCT1
ENSG00000120280,CXorf21
ENSG00000120708,TGFBI
ENSG00000120738,EGR1
ENSG00000120833,SOCS2
ENSG00000120875,DUSP4
ENSG00000120885,CLU
ENSG00000121068,TBX2
ENSG00000121410,A1BG
ENSG00000121552,CSTA
ENSG00000121769,FABP3
ENSG00000121807,CCR2
ENSG00000121858,TNFSF10
ENSG00000121895,TMEM156
ENSG00000121933,TMIGD3
ENSG00000121966,CXCR4
ENSG00000122133,PAEP
ENSG00000122188,LAX1
ENSG00000122223,CD244
ENSG00000122224,LY9
ENSG00000122417,ODF2L
ENSG00000122641,INHBA
ENSG00000122679,RAMP3
ENSG00000122735,DNAI1
ENSG00000122786,CALD1
ENSG00000122852,SFTPA1
ENSG00000122861,PLAU
ENSG00000122862,SRGN
ENSG00000122877,EGR2
ENSG00000123095,BHLHE41
ENSG00000123329,ARHGAP9
ENSG00000123338,NCKAP1L
ENSG00000123342,MMP19
ENSG00000123358,NR4A1
ENSG00000123610,TNFAIP6
ENSG00000123689,G0S2
ENSG00000123838,C4BPA
ENSG00000123977,DAW1
ENSG00000124102,PI3
ENSG00000124107,SLPI
ENSG00000124126,PREX1
ENSG00000124191,TOX2
ENSG00000124203,ZNF831
ENSG00000124212,PTGIS
ENSG00000124216,SNAI1
ENSG00000124237,C20orf85
ENSG00000124391,IL17C
ENSG00000124440,HIF3A
ENSG00000124466,LYPD3
ENSG00000124491,F13A1
ENSG00000124575,HIST1H1D
ENSG00000124731,TREM1
ENSG00000124762,CDKN1A
ENSG00000124766,SOX4
ENSG00000124785,NRN1
ENSG00000124875,CXCL6
ENSG00000124882,EREG
ENSG00000124939,SCGB2A1
ENSG00000125144,MT1G
ENSG00000125148,MT2A
ENSG00000125245,GPR18
ENSG00000125266,EFNB2
ENSG00000125347,IRF1
ENSG00000125354,SEPT6
ENSG00000125384,PTGER2
ENSG00000125498,KIR2DL1
ENSG00000125538,IL1B
ENSG00000125726,CD70
ENSG00000125730,C3
ENSG00000125735,TNFSF14
ENSG00000125740,FOSB
ENSG00000125810,CD93
ENSG00000125845,BMP2
ENSG00000125848,FLRT3
ENSG00000125851,PCSK2
ENSG00000125968,ID1
ENSG00000125999,BPIFB1
ENSG00000126264,HCST
ENSG00000126353,CCR7
ENSG00000126549,STATH
ENSG00000126709,IFI6
ENSG00000126759,CFP
ENSG00000126785,RHOJ
ENSG00000126803,HSPA2
ENSG00000126860,EVI2A
ENSG00000126861,OMG
ENSG00000126870,WDR60
ENSG00000127074,RGS13
ENSG00000127083,OMD
ENSG00000127084,FGD3
ENSG00000127129,EDN2
ENSG00000127152,BCL11B
ENSG00000127318,IL22
ENSG00000127324,TSPAN8
ENSG00000127329,PTPRB
ENSG00000127507,ADGRE2
ENSG00000127528,KLF2
ENSG00000127533,F2RL3
ENSG00000127824,TUBA4A
ENSG00000127920,GNG11
ENSG00000127951,FGL2
ENSG00000127954,STEAP4
ENSG00000128040,SPINK2
ENSG00000128052,KDR
ENSG00000128218,VPREB3
ENSG00000128340,RAC2
ENSG00000128342,LIF
ENSG00000128383,APOBEC3A
ENSG00000128422,KRT17
ENSG00000128510,CPA4
ENSG00000128536,CDHR3
ENSG00000128567,PODXL
ENSG00000128656,CHN1
ENSG00000129009,ISLR
ENSG00000129116,PALLD
ENSG00000129226,CD68
ENSG00000129355,CDKN2D
ENSG00000129451,KLK10
ENSG00000129538,RNASE1
ENSG00000129654,FOXJ1
ENSG00000129757,CDKN1C
ENSG00000129824,RPS4Y1
ENSG00000130176,CNN1
ENSG00000130203,APOE
ENSG00000130208,APOC1
ENSG00000130222,GADD45G
ENSG00000130300,PLVAP
ENSG00000130303,BST2
ENSG00000130307,USHBP1
ENSG00000130413,STK33
ENSG00000130513,GDF15
ENSG00000130592,LSP1
ENSG00000130635,COL5A1
ENSG00000130643,CALY
ENSG00000130755,GMFG
ENSG00000130830,MPP1
ENSG00000130844,ZNF331
ENSG00000130988,RGN
ENSG00000131016,AKAP12
ENSG00000131018,SYNE1
ENSG00000131042,LILRB2
ENSG00000131050,BPIFA2
ENSG00000131055,COX4I2
ENSG00000131097,HIGD1B
ENSG00000131203,IDO1
ENSG00000131386,GALNT15
ENSG00000131400,NAPSA
ENSG00000131471,AOC3
ENSG00000131477,RAMP2
ENSG00000131634,TMEM204
ENSG00000131686,CA6
ENSG00000131711,MAP1B
ENSG00000131747,TOP2A
ENSG00000131873,CHSY1
ENSG00000132031,MATN3
ENSG00000132185,FCRLA
ENSG00000132329,RAMP1
ENSG00000132334,PTPRE
ENSG00000132386,SERPINF1
ENSG00000132465,JCHAIN
ENSG00000132514,CLEC10A
ENSG00000132622,HSPA12B
ENSG00000132688,NES
ENSG00000132718,SYT11
ENSG00000132965,ALOX5AP
ENSG00000133048,CHI3L1
ENSG00000133063,CHIT1
ENSG00000133110,POSTN
ENSG00000133115,STOML3
ENSG00000133169,BEX1
ENSG00000133392,MYH11
ENSG00000133561,GIMAP6
ENSG00000133574,GIMAP4
ENSG00000133636,NTS
ENSG00000133640,LRRIQ1
ENSG00000133661,SFTPD
ENSG00000133665,DYDC2
ENSG00000133710,SPINK5
ENSG00000133742,CA1
ENSG00000133800,LYVE1
ENSG00000134020,PEBP4
ENSG00000134028,ADAMDEC1
ENSG00000134202,GSTM3
ENSG00000134242,PTPN22
ENSG00000134285,FKBP11
ENSG00000134339,SAA2
ENSG00000134363,FST
ENSG00000134443,GRP
ENSG00000134460,IL2RA
ENSG00000134531,EMP1
ENSG00000134539,KLRD1
ENSG00000134545,KLRC1
ENSG00000134551,PRH2
ENSG00000134594,RAB33A
ENSG00000134827,TCN1
ENSG00000134830,C5AR2
ENSG00000134853,PDGFRA
ENSG00000134871,COL4A2
ENSG00000134873,CLDN10
ENSG00000134917,ADAMTS8
ENSG00000134954,ETS1
ENSG00000135047,CTSL
ENSG00000135048,TMEM2
ENSG00000135074,ADAM19
ENSG00000135077,HAVCR2
ENSG00000135094,SDS
ENSG00000135111,TBX3
ENSG00000135205,CCDC146
ENSG00000135218,CD36
ENSG00000135245,HILPDA
ENSG00000135346,CGA
ENSG00000135426,TESPA1
ENSG00000135480,KRT7
ENSG00000135549,PKIB
ENSG00000135636,DYSF
ENSG00000135905,DOCK10
ENSG00000135916,ITM2C
ENSG00000135919,SERPINE2
ENSG00000135925,WNT10A
ENSG00000135929,CYP27A1
ENSG00000136040,PLXNC1
ENSG00000136153,LMO7
ENSG00000136155,SCEL
ENSG00000136160,EDNRB
ENSG00000136167,LCP1
ENSG00000136235,GPNMB
ENSG00000136237,RAPGEF5
ENSG00000136244,IL6
ENSG00000136250,AOAH
ENSG00000136286,MYO1G
ENSG00000136352,NKX2-1
ENSG00000136490,LIMD2
ENSG00000136546,SCN7A
ENSG00000136573,BLK
ENSG00000136634,IL10
ENSG00000136689,IL1RN
ENSG00000136732,GYPC
ENSG00000136918,WDR38
ENSG00000136960,ENPP2
ENSG00000136997,MYC
ENSG00000137033,IL33
ENSG00000137077,CCL21
ENSG00000137078,SIT1
ENSG00000137098,SPAG8
ENSG00000137193,PIM1
ENSG00000137265,IRF4
ENSG00000137331,IER3
ENSG00000137393,RNF144B
ENSG00000137440,FGFBP1
ENSG00000137441,FGFBP2
ENSG00000137491,SLCO2B1
ENSG00000137501,SYTL2
ENSG00000137507,LRRC32
ENSG00000137642,SORL1
ENSG00000137673,MMP7
ENSG00000137691,C11orf70
ENSG00000137726,FXYD6
ENSG00000137745,MMP13
ENSG00000137801,THBS1
ENSG00000137804,NUSAP1
ENSG00000137880,GCHFR
ENSG00000137959,IFI44L
ENSG00000137962,ARHGAP29
ENSG00000137975,CLCA2
ENSG00000138061,CYP1B1
ENSG00000138080,EMILIN1
ENSG00000138135,CH25H
ENSG00000138166,DUSP5
ENSG00000138182,KIF20B
ENSG00000138185,ENTPD1
ENSG00000138207,RBP4
ENSG00000138378,STAT4
ENSG00000138449,SLC40A1
ENSG00000138587,MNS1
ENSG00000138670,RASGEF1B
ENSG00000138684,IL21
ENSG00000138722,MMRN1
ENSG00000138755,CXCL9
ENSG00000138767,CNOT6L
ENSG00000138772,ANXA3
ENSG00000138795,LEF1
ENSG00000138821,SLC39A8
ENSG00000139116,KIF21A
ENSG00000139187,KLRG1
ENSG00000139193,CD27
ENSG00000139278,GLIPR1
ENSG00000139289,PHLDA1
ENSG00000139318,DUSP6
ENSG00000139329,LUM
ENSG00000139352,ASCL1
ENSG00000139537,CCDC65
ENSG00000139626,ITGB7
ENSG00000139629,GALNT6
ENSG00000139679,LPAR6
ENSG00000139722,VPS37B
ENSG00000139725,RHOF
ENSG00000140030,GPR65
ENSG00000140057,AK7
ENSG00000140092,FBLN5
ENSG00000140105,WARS
ENSG00000140274,DUOXA2
ENSG00000140285,FGF7
ENSG00000140287,HDC
ENSG00000140368,PSTPIP1
ENSG00000140379,BCL2A1
ENSG00000140403,DNAJA4
ENSG00000140416,TPM1
ENSG00000140465,CYP1A1
ENSG00000140519,RHCG
ENSG00000140563,MCTP2
ENSG00000140678,ITGAX
ENSG00000140682,TGFB1I1
ENSG00000140749,IGSF6
ENSG00000140931,CMTM3
ENSG00000140937,CDH11
ENSG00000140945,CDH13
ENSG00000140968,IRF8
ENSG00000141293,SKAP1
ENSG00000141294,LRRC46
ENSG00000141338,ABCA8
ENSG00000141433,ADCYAP1
ENSG00000141469,SLC14A1
ENSG00000141506,PIK3R5
ENSG00000141682,PMAIP1
ENSG00000141744,PNMT
ENSG00000141753,IGFBP4
ENSG00000141934,PLPP2
ENSG00000142089,IFITM3
ENSG00000142156,COL6A1
ENSG00000142173,COL6A2
ENSG00000142224,IL19
ENSG00000142227,EMP3
ENSG00000142347,MYO1F
ENSG00000142512,SIGLEC10
ENSG00000142621,FHAD1
ENSG00000142748,FCN3
ENSG00000142798,HSPG2
ENSG00000142871,CYR61
ENSG00000142910,TINAGL1
ENSG00000142973,CYP4B1
ENSG00000143110,C1orf162
ENSG00000143119,CD53
ENSG00000143127,ITGA10
ENSG00000143184,XCL1
ENSG00000143185,XCL2
ENSG00000143196,DPT
ENSG00000143226,FCGR2A
ENSG00000143248,RGS5
ENSG00000143297,FCRL5
ENSG00000143320,CRABP2
ENSG00000143333,RGS16
ENSG00000143369,ECM1
ENSG00000143387,CTSK
ENSG00000143416,SELENBP1
ENSG00000143443,C1orf56
ENSG00000143536,CRNN
ENSG00000143546,S100A8
ENSG00000143556,S100A7
ENSG00000143851,PTPN7
ENSG00000144061,NPHP1
ENSG00000144063,MALL
ENSG00000144218,AFF3
ENSG00000144451,SPAG16
ENSG00000144476,ACKR3
ENSG00000144802,NFKBIZ
ENSG00000144810,COL8A1
ENSG00000144824,PHLDB2
ENSG00000144837,PLA1A
ENSG00000145075,CCDC39
ENSG00000145147,SLIT2
ENSG00000145287,PLAC8
ENSG00000145416,MARCH1
ENSG00000145423,SFRP2
ENSG00000145491,ROPN1L
ENSG00000145632,PLK2
ENSG00000145649,GZMA
ENSG00000145675,PIK3R1
ENSG00000145703,IQGAP2
ENSG00000145824,CXCL14
ENSG00000145879,SPINK7
ENSG00000145936,KCNMB1
ENSG00000145990,GFOD1
ENSG00000146070,PLA2G7
ENSG00000146112,PPP1R18
ENSG00000146285,SCML4
ENSG00000146592,CREB5
ENSG00000146674,IGFBP3
ENSG00000147027,TMEM47
ENSG00000147113,CXorf36
ENSG00000147168,IL2RG
ENSG00000147257,GPC3
ENSG00000147400,CETN2
ENSG00000147443,DOK2
ENSG00000147454,SLC25A37
ENSG00000147676,MAL2
ENSG00000147862,NFIB
ENSG00000147872,PLIN2
ENSG00000148053,NTRK2
ENSG00000148180,GSN
ENSG00000148346,LCN2
ENSG00000148516,ZEB1
ENSG00000148671,ADIRF
ENSG00000148677,ANKRD1
ENSG00000148773,MKI67
ENSG00000148848,ADAM12
ENSG00000148926,ADM
ENSG00000149021,SCGB1A1
ENSG00000149043,SYT8
ENSG00000149131,SERPING1
ENSG00000149257,SERPINH1
ENSG00000149294,NCAM1
ENSG00000149435,GGTLC1
ENSG00000149516,MS4A3
ENSG00000149534,MS4A2
ENSG00000149564,ESAM
ENSG00000149591,TAGLN
ENSG00000149798,CDC42EP2
ENSG00000150045,KLRF1
ENSG00000150337,FCGR1A
ENSG00000150347,ARID5B
ENSG00000150637,CD226
ENSG00000150681,RGS18
ENSG00000150687,PRSS23
ENSG00000151023,ENKUR
ENSG00000151062,CACNA2D4
ENSG00000151418,ATP6V1G3
ENSG00000151632,AKR1C2
ENSG00000151651,ADAM8
ENSG00000151702,FLI1
ENSG00000151883,PARP8
ENSG00000151914,DST
ENSG00000151929,BAG3
ENSG00000152137,HSPB8
ENSG00000152270,PDE3B
ENSG00000152495,CAMK4
ENSG00000152518,ZFP36L2
ENSG00000152582,SPEF2
ENSG00000152583,SPARCL1
